State/UT,Number of Charging Stations
Andaman & Nicobar,3
Andhra Pradesh,327
Arunachal Pradesh,9
Assam,86
Bihar,124
Chandigarh,12
Chhattisgarh,149
D&D and DNH,1
Delhi,1886
Goa,113
Gujarat,476
Haryana,377
Himachal Pradesh,44
Jammu & Kashmir,47
Jharkhand,135
Karnataka,1041
Kerala,852
Lakshadweep,1
Madhya Pradesh,341
Maharashtra,3079
Manipur,17
Meghalaya,21
Mizoram,0
Nagaland,0
Odisha,138
Puducherry,13
Punjab,211
Rajasthan,205
Sikkim,0
Tamil Nadu,658
Telangana,486
Tripura,2
Uttar Pradesh,1097
Uttarakhand,10
West Bengal,301
